frame,time_sig,x_norm,y_norm,vx_norm,vy_norm,ax_norm,ay_norm,beat
0,4/4,0.5,0.5,0.0,0.0,0.0,0.0,0
1,4/4,1.0,0.0,1.0,-1.0,1.0,-1.0,0
2,4/4,1.0,1.0,0.24749087591240881,1.0,-0.7525091240875912,2.0,0
3,4/4,1.0,1.0,0.47072316793432334,0.10979636763896528,0.22323229202191452,-0.8902036323610347,0
4,4/4,1.0,1.0,0.24706844832287977,0.7552614742229855,-0.22365471961144356,0.6454651065840202,0
5,4/4,1.0,1.0,0.0733659029649596,0.46000545504136736,-0.17370254535792018,-0.29525601918161815,0
6,4/4,0.8980795148247979,1.0,-0.10192048517520214,0.35969681798600517,-0.17528638814016173,-0.1003086370553622,0
7,4/4,0.8644289083557951,1.0,-0.03365060646900275,0.20652414914452533,0.06826987870619938,-0.15317266884147984,0
8,4/4,0.8598382749326146,0.9951683234174642,-0.004590633423180557,-0.004831676582535804,0.029059973045822196,-0.21135582572706113,0
9,4/4,0.8805592991913747,0.9953900447137948,0.0207210242587601,0.00022172129633057924,0.025311657681940658,0.005053397878866384,0
10,4/4,0.8185225741239892,1.0,-0.062036725067385445,0.005519507490100883,-0.08275774932614555,0.005297786193770304,0
11,4/4,0.8226920485175202,0.9922837654486215,0.004169474393530992,-0.007716234551378487,0.06620619946091644,-0.01323574204147937,0
12,4/4,0.9224225067385444,0.5146156189140046,0.09973045822102422,-0.47766814653461687,0.09556098382749323,-0.4699519119832384,0
13,4/4,1.0,0.0,0.26834808752296646,-0.5283502843100325,0.16861762930194224,-0.05068213777541564,0
14,4/4,1.0,0.0,0.1604263076707334,-0.2568880713400248,-0.10792177985223306,0.2714622129700077,0
15,4/4,1.0,0.0,0.32458799014964956,-0.18024170636828532,0.16416168247891616,0.07664636497173946,0
16,4/4,1.0,0.0,0.23358353053906122,-0.10275352585627938,-0.09100445961058834,0.07748818051200594,0
17,4/4,1.0,0.0,0.1828524652398804,-0.18109961221327467,-0.05073106529918081,-0.07834608635699529,0
18,4/4,1.0,0.0,0.05078714443368393,-0.09080424110808986,-0.13206532080619648,0.0902953711051848,0
19,4/4,1.0,0.01132543752395204,0.022800801109228108,0.01132543752395204,-0.02798634332445582,0.1021296786320419,0
20,4/4,1.0,0.06439403616986332,0.000791678578497157,0.05306859864591128,-0.02200912253073095,0.041743161121959235,0
21,4/4,0.9832867855650606,0.07138711973283209,-0.01671321443493945,0.006993083562968766,-0.017504893013436607,-0.04607551508294251,0
22,4/4,0.9665735711301212,0.12818219975546108,-0.01671321443493934,0.056795080022628994,1.1102230246251565e-16,0.04980199645966023,0
23,4/4,0.9556220174609109,0.31180174097122104,-0.010951553669210301,0.18361954121575996,0.0057616607657290375,0.12682446119313096,0
24,4/4,0.929243727046819,0.5522893589065094,-0.0263782904140919,0.2404876179352884,-0.015426736744881597,0.056868076719528426,0
25,4/4,0.9265608163085787,0.8034709929375696,-0.0026829107382403405,0.2511816340310602,0.023695379675851558,0.010694016095771808,0
26,4/4,0.9226464055593429,0.9182838476558935,-0.003914410749235819,0.11481285471832392,-0.0012315000109954788,-0.13636877931273628,0
27,4/4,0.9131902447606272,0.9592897421391682,-0.009456160798715696,0.04100589448327463,-0.005541750049479877,-0.07380696023504929,0
28,4/4,0.9282981109669474,1.0,0.015107866206320208,0.09050926166228934,0.024564027005035904,0.04950336717901471,0
29,4/4,0.9470125129197546,1.0,0.01871440195280727,0.1250056771216539,0.0036065357464870607,0.03449641545936455,0
30,4/4,0.9542365799485409,1.0,0.007224067028786307,0.05337151111798999,-0.011490334924020962,-0.0716341660036639,0
31,4/4,0.9896202141930376,1.0,0.03538363424449664,0.08332698386007686,0.028159567215710335,0.029955472742086875,0
32,4/4,1.0,0.9807046076156896,0.03099665162950438,-0.01929539238431044,-0.004386982614992263,-0.1026223762443873,1
33,4/4,1.0,1.0,0.07846094315847962,0.06017176826642967,0.047464291528975244,0.07946716065074011,0
34,4/4,1.0,0.961501952598807,0.09542998689666315,-0.038498047401193,0.01696904373818353,-0.09866981566762267,0
35,4/4,1.0,0.9561389152564564,0.1098204013805445,-0.005363037342350552,0.014390414483881342,0.03313501005884245,0
36,4/4,1.0,0.8626181190090718,0.01975863608241768,-0.09352079624738463,-0.09006176529812682,-0.08815775890503408,0
37,4/4,1.0,0.6909505668957078,0.04543653611823362,-0.17166755211336404,0.025677900035815937,-0.07814675586597941,0
38,4/4,0.9856992277732509,0.6253049755390104,-0.014300772226749081,-0.06564559135669734,-0.0597373083449827,0.1060219607566667,0
39,4/4,0.9538981378346254,0.49480188235057143,-0.031801089938625515,-0.130503093188439,-0.017500317711876434,-0.06485750183174166,0
40,4/4,0.805104321629077,0.4416901876559498,-0.14879381620554843,-0.053111694694621625,-0.11699272626692292,0.07739139849381738,0
41,4/4,0.6842018703885056,0.4320266490080899,-0.12090245124057142,-0.009663538647859904,0.027891364964977017,0.04344815604676172,0
42,4/4,0.5759406140436125,0.4358235787321578,-0.10826125634489303,0.003796929724067921,0.012641194895678387,0.013460468371927825,0
43,4/4,0.280199448302671,0.45034910099883424,-0.2957411657409415,0.014525522266676416,-0.18747990939604847,0.010728592542608495,0
44,4/4,0.11753844313704968,0.45861019279237997,-0.16266100516562132,0.008261091793545727,0.13308016057532018,-0.006264430473130689,0
45,4/4,0.0,0.5095817082658757,-0.16765263744244588,0.05097151547349571,-0.004991632276824559,0.04271042367994998,0
46,4/4,0.0,0.5769520322890098,-0.12463583843571005,0.06737032402313414,0.04301679900673583,0.016398808549638433,0
47,4/4,0.0,0.6259545828790698,-0.07739440910669848,0.04900255059005998,0.04724142932901157,-0.018367773433074164,0
48,4/4,0.0,0.6927709781626183,-0.13140661014769456,0.06681639528354855,-0.05401220104099608,0.017813844693488567,0
49,4/4,0.0,0.7520237282929175,-0.12041278915471328,0.05925275013029918,0.010993820992981282,-0.007563645153249365,0
50,4/4,0.0,0.8462067211698975,-0.0336141873312984,0.09418299287697995,0.08679860182341487,0.03493024274668077,0
51,4/4,0.0,0.9045555603115094,-0.007792619538283121,0.05834883914161193,0.025821567793015282,-0.035834153735368024,0
52,4/4,0.0,0.9373305166896211,-0.017996206581540063,0.032774956378111675,-0.010203587043256943,-0.025573882763500255,0
53,4/4,0.009897299135215296,0.9339691763835,0.009897299135215296,-0.003361340306121119,0.02789350571675536,-0.036136296684232794,0
54,4/4,0.0,0.9338961585041909,-0.024928389881792877,-7.301787930902304e-05,-0.03482568901700817,0.003288322426812096,0
55,4/4,0.0,0.9292204963705079,-0.04314291670205292,-0.0046756621336830895,-0.018214526820260042,-0.0046026442543740664,1
56,4/4,0.0,0.9244894413628661,-0.055338577278910075,-0.004731055007641705,-0.012195660576857156,-5.539287395861514e-05,0
57,4/4,0.0,0.9056558642169588,-0.024148864619030843,-0.018833577145907388,0.031189712659879232,-0.014102522138265683,0
58,4/4,0.025419295604735825,0.7242240591394465,0.025419295604735825,-0.18143180507751222,0.04956816022376667,-0.16259822793160483,0
59,4/4,0.028234172102474316,0.5243892306181593,0.00281487649773849,-0.1998348285212872,-0.022604419106997335,-0.01840302344377498,0
60,4/4,0.039586202478941804,0.4556844419042056,0.011352030376467488,-0.06870478871395375,0.008537153878728998,0.13113003980733345,0
