frame,time_sig,x_norm,y_norm,vx_norm,vy_norm,ax_norm,ay_norm,beat
0,4/4,0.5,0.5,0.0,0.0,0.0,0.0,0
1,4/4,1.0,1.0,1.0,1.0,1.0,1.0,0
2,4/4,1.0,0.9488341476999418,0.572370392568175,-0.05116585230005821,-0.427629607431825,-1.0511658523000582,0
3,4/4,1.0,0.9121749917719436,0.20673534072900157,-0.03665915592799818,-0.36563505183917344,0.014506696372060035,0
4,4/4,1.0,0.8971619534671764,0.13228822882288227,-0.01501303830476719,-0.0744471119061193,0.021646117623230987,0
5,4/4,1.0,0.8785032532469177,0.029494194581609512,-0.018658700220258728,-0.10279403424127276,-0.003645661915491538,0
6,4/4,1.0,0.7949821514468721,0.030346166289226817,-0.08352110180004557,0.000851971707617305,-0.06486240157978684,0
7,4/4,1.0,0.7614623155016582,0.011575850601176718,-0.033519835945213905,-0.0187703156880501,0.05000126585483167,0
8,4/4,1.0,0.7152839312387655,0.09842587787580004,-0.04617838426289267,0.08685002727462332,-0.012658548317678764,1
9,4/4,0.9938880239866228,0.7009291374465176,-0.006111976013377207,-0.01435479379224791,-0.10453785388917725,0.03182359047064476,0
10,4/4,0.9487977858501989,0.6916883971746121,-0.04509023813642388,-0.009240740271905579,-0.03897826212304667,0.005114053520342332,0
11,4/4,0.8786830421495704,0.7259930631155219,-0.07011474370062853,0.03430466594090986,-0.025024505564204658,0.04354540621281544,0
12,4/4,0.6286109669607335,0.9039722524620877,-0.2500720751888369,0.17797918934656576,-0.17995733148820836,0.1436745234056559,0
13,4/4,0.0,1.0,-0.6847592012529365,0.14920892108272965,-0.43468712606409965,-0.028770268263836107,0
14,4/4,0.0,1.0,-0.46149385904802065,0.21632775007936067,0.2232653422049159,0.06711882899663102,0
15,4/4,0.0,1.0,-0.23368072386492164,0.16339123914266074,0.227813135183099,-0.05293651093669993,0
16,4/4,0.0,0.9844404174217334,-0.14881034245633337,-0.015559582578266618,0.08487038140858827,-0.17895082172092736,0
17,4/4,0.0,1.0,-0.16603822277021893,0.08693636258258952,-0.017227880313885557,0.10249594516085614,0
18,4/4,0.0,1.0,-0.14022804314329737,0.07270211079312616,0.02581017962692156,-0.014234251789463359,0
19,4/4,0.0,1.0,-0.05792389070175235,0.2217109872528208,0.08230415244154501,0.14900887645969463,0
20,4/4,0.0,1.0,-0.06487343490394952,0.1434240108920558,-0.006949544202197171,-0.07828697636076498,0
21,4/4,0.0,1.0,-0.09389052337423373,0.124912797761352,-0.02901708847028421,-0.018511213130703807,0
22,4/4,0.0,1.0,-0.04332068793478363,0.10609033198335183,0.0505698354394501,-0.018822465778000175,0
23,4/4,0.0002447496493490601,1.0,0.0002447496493490601,0.07501361055660694,0.04356543758413269,-0.03107672142674489,0
24,4/4,0.0,1.0,-0.005002857437300331,0.01696038329701699,-0.005247607086649391,-0.058053227259589946,0
25,4/4,0.014774356139742737,1.0,0.014774356139742737,0.00825224314419315,0.019777213577043068,-0.00870814015282384,0
26,4/4,0.026400846925678526,1.0,0.011626490785935788,0.023809523809523836,-0.0031478653538069487,0.015557280665330686,0
27,4/4,0.027703088842878424,0.9877929928448063,0.0013022419171998985,-0.012207007155193739,-0.01032424886873589,-0.036016530964717575,0
28,4/4,0.09129746390728787,0.8714100666173205,0.06359437506440944,-0.1163829262274858,0.06229213314720955,-0.10417591907229207,0
29,4/4,0.10601560816571262,0.7114853195164076,0.014718144258424756,-0.15992474710091287,-0.04887623080598469,-0.04354182087342706,0
30,4/4,0.18445928854495544,0.4941339748334567,0.07844368037924282,-0.21735134468295086,0.06372553612081806,-0.057426597582038,0
31,4/4,0.2799726435510919,0.3899457192203306,0.09551335500613647,-0.10418825561312611,0.017069674626893655,0.11316308906982475,0
32,4/4,0.2800288554324099,0.002794226498889711,5.6211881317991264e-05,-0.3871514927214409,-0.09545714312481848,-0.2829632371083148,0
33,4/4,0.27480115046983766,0.0,-0.005227704962572244,-0.38206121021469824,-0.005283916843890235,0.005090282506742649,0
34,4/4,0.26139461677549913,0.0,-0.01340653369433853,-0.16047722802142264,-0.008178828731766286,0.2215839821932756,0
35,4/4,0.23550904542856876,0.0,-0.02588557134693037,-0.042355016348304936,-0.01247903765259184,0.1181222116731177,0
36,4/4,0.21882348532401466,0.0,-0.016685560104554104,-0.005126982234410397,0.009200011242376266,0.03722803411389454,0
37,4/4,0.16436354097377714,0.05710914021394527,-0.054459944350237516,0.05710914021394527,-0.03777438424568341,0.06223612244835566,0
